Feedback_ID,Feedback_Text
ZMF01596,Amazing discounts and very quick delivery. Highly recommended.
ZMF04055,Consistently good experience with Zomato. Reliable and fast.
ZMF07894,Received a completely wrong item from Noodle Kingdom. Customer support is not helping.
ZMF08861,I am tired of the an item missing from my order. This is completely unacceptable.
ZMF04695,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF00742,Food from Pizza Bay arrived earlier than expected and was user-friendly!
ZMF08538,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF05978,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF06457,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06986,One of the items was missing from my order. I had to wait for more than an hour.
ZMF05699,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF01849,Food from Noodle Kingdom arrived super fast and was impressive!
ZMF00664,"My order was perfectly packed, no spills at all. The food was impressive too."
ZMF00671,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF06953,The soup was completely spilled in the bag. Terrible packaging.
ZMF05069,The curry was completely spilled in the bag. Terrible packaging.
ZMF04498,Amazing discounts and very quick delivery. Highly recommended.
ZMF02111,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF06527,The soup was completely spilled in the bag. Terrible packaging.
ZMF07152,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF07635,The curry was completely spilled in the bag. Terrible packaging.
ZMF06089,The curry was completely spilled in the bag. Terrible packaging.
ZMF06772,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF03510,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF01997,I love the the delivery speed. It makes ordering food so convenient and enjoyable.
ZMF00258,Food from Pizza Bay arrived earlier than expected and was quick!
ZMF08212,My order was more than 40 minutes late and the food was cold.
ZMF02605,I love the the delivery speed. It makes ordering food so convenient and enjoyable.
ZMF00580,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF07638,The soup was completely spilled in the bag. Terrible packaging.
ZMF06325,My order was more than an hour late and the food was cold.
ZMF04393,I love the the customer support. It makes ordering food so convenient and enjoyable.
ZMF04377,Amazing discounts and very quick delivery. Highly recommended.
ZMF05240,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF08975,My order was more than 40 minutes late and the food was cold.
ZMF01752,"The The app's user interface was simply excellent. Keep it up, Zomato."
ZMF01503,Amazing discounts and very quick delivery. Highly recommended.
ZMF01431,Food from Pizza Bay arrived super fast and was hot and fresh!
ZMF09578,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF07874,My order was more than an hour late and the food was soggy.
ZMF04613,Consistently good experience with Zomato. Reliable and fast.
ZMF02925,The delivery partner was very delicious. Great service!
ZMF05250,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF04694,Amazing discounts and very quick delivery. Highly recommended.
ZMF01191,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF08720,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF09187,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF08075,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF08898,I am tired of the an item missing from my order. I had to wait for more than an hour.
ZMF02642,Food from Noodle Kingdom arrived earlier than expected and was excellent!
ZMF02560,Food from The Curry House arrived super fast and was user-friendly!
ZMF04036,I love the the packaging. It makes ordering food so convenient and enjoyable.
ZMF09796,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF05286,I am tired of the late delivery. I had to wait for more than an hour.
ZMF03124,The delivery partner was very neat and secure. Great service!
ZMF00036,"My order was perfectly packed, no spills at all. The food was hot and fresh too."
ZMF01203,The delivery partner was very user-friendly. Great service!
ZMF05518,The soup was completely spilled in the bag. Terrible packaging.
ZMF06666,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF04454,"My order was perfectly packed, no spills at all. The food was hot and fresh too."
ZMF06444,Received a completely wrong item from Noodle Kingdom. Customer support is not helping.
ZMF02194,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF05828,The soup was completely spilled in the bag. Terrible packaging.
ZMF04817,Consistently good experience with Zomato. Reliable and fast.
ZMF02485,Consistently good experience with Zomato. Reliable and fast.
ZMF01976,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF01241,Consistently good experience with Zomato. Reliable and fast.
ZMF06200,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF07959,I am tired of the spilled food due to poor packaging. It was a very frustrating experience.
ZMF03113,"The The Zomato Gold benefits was simply excellent. Keep it up, Zomato."
ZMF03211,Amazing discounts and very quick delivery. Highly recommended.
ZMF03771,I love the the zomato gold benefits. It makes ordering food so convenient and enjoyable.
ZMF03766,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF04014,"The The food quality was simply excellent. Keep it up, Zomato."
ZMF03254,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF09847,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF01286,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF03000,"The The Zomato Gold benefits was simply excellent. Keep it up, Zomato."
ZMF09538,One of the items was missing from my order. My entire meal was ruined.
ZMF03382,"The The customer support was simply excellent. Keep it up, Zomato."
ZMF06071,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF04557,Consistently good experience with Zomato. Reliable and fast.
ZMF05966,The soup was completely spilled in the bag. Terrible packaging.
ZMF07374,Received a completely wrong item from Grill & Chill. Customer support is not helping.
ZMF03304,Amazing discounts and very quick delivery. Highly recommended.
ZMF07333,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06151,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF01872,Food from Pizza Bay arrived earlier than expected and was delicious!
ZMF04947,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF01062,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF07752,The soup was completely spilled in the bag. Terrible packaging.
ZMF09402,The curry was completely spilled in the bag. Terrible packaging.
ZMF07624,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF00758,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF03783,Amazing discounts and very quick delivery. Highly recommended.
ZMF05246,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06625,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF02839,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF08878,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF01657,The delivery partner was very impressive. Great service!
ZMF09641,Received a completely wrong item from Pizza Bay. Customer support is not helping.
ZMF04718,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF00055,Food from Noodle Kingdom arrived earlier than expected and was user-friendly!
ZMF07898,The soup was completely spilled in the bag. Terrible packaging.
ZMF09272,One of the items was missing from my order. This is completely unacceptable.
ZMF04578,The delivery partner was very hot and fresh. Great service!
ZMF02802,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF02606,"My order was perfectly packed, no spills at all. The food was impressive too."
ZMF03338,I love the the zomato gold benefits. It makes ordering food so convenient and enjoyable.
ZMF04263,Amazing discounts and very quick delivery. Highly recommended.
ZMF07084,The curry was completely spilled in the bag. Terrible packaging.
ZMF09985,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF06517,My order was more than an hour late and the food was cold.
ZMF04712,The delivery partner was very user-friendly. Great service!
ZMF08651,One of the items was missing from my order. This is completely unacceptable.
ZMF09672,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06801,I am tired of the an item missing from my order. I want a full refund for this order.
ZMF00320,Amazing discounts and very quick delivery. Highly recommended.
ZMF04207,"My order was perfectly packed, no spills at all. The food was impressive too."
ZMF00220,The delivery partner was very neat and secure. Great service!
ZMF09498,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF04060,Amazing discounts and very quick delivery. Highly recommended.
ZMF00619,The delivery partner was very excellent. Great service!
ZMF03027,Consistently good experience with Zomato. Reliable and fast.
ZMF00112,"My order was perfectly packed, no spills at all. The food was user-friendly too."
ZMF04244,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF02519,Amazing discounts and very quick delivery. Highly recommended.
ZMF08324,My order was more than an hour late and the food was cold.
ZMF06252,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF09197,One of the items was missing from my order. It was a very frustrating experience.
ZMF01263,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF05818,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF06017,My order was more than an hour late and the food was cold.
ZMF09479,The soup was completely spilled in the bag. Terrible packaging.
ZMF01624,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF06283,The soup was completely spilled in the bag. Terrible packaging.
ZMF01469,"The The customer support was simply excellent. Keep it up, Zomato."
ZMF05727,The soup was completely spilled in the bag. Terrible packaging.
ZMF04297,Food from Pizza Bay arrived super fast and was excellent!
ZMF04766,The delivery partner was very quick. Great service!
ZMF09737,One of the items was missing from my order. It was a very frustrating experience.
ZMF07269,The curry was completely spilled in the bag. Terrible packaging.
ZMF01839,Consistently good experience with Zomato. Reliable and fast.
ZMF04168,"My order was perfectly packed, no spills at all. The food was quick too."
ZMF06488,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF00068,Food from Noodle Kingdom arrived super fast and was polite and professional!
ZMF01121,Consistently good experience with Zomato. Reliable and fast.
ZMF05204,Received a completely wrong item from Grill & Chill. Customer support is not helping.
ZMF05786,I am tired of the the app crashing during payment. My entire meal was ruined.
ZMF00779,Food from Pizza Bay arrived super fast and was polite and professional!
ZMF06394,The soup was completely spilled in the bag. Terrible packaging.
ZMF01755,The delivery partner was very delicious. Great service!
ZMF03833,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF02937,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF05005,Received a completely wrong item from Pizza Bay. Customer support is not helping.
ZMF00412,Amazing discounts and very quick delivery. Highly recommended.
ZMF04160,Consistently good experience with Zomato. Reliable and fast.
ZMF08682,The soup was completely spilled in the bag. Terrible packaging.
ZMF01239,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF06185,My order was more than an hour late and the food was cold.
ZMF09852,I am tired of the late delivery. This is completely unacceptable.
ZMF07339,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF02744,The delivery partner was very quick. Great service!
ZMF06851,I am tired of the late delivery. I want a full refund for this order.
ZMF05553,I am tired of the spilled food due to poor packaging. I want a full refund for this order.
ZMF07307,I am tired of the the restaurant canceling my order after a long wait. I had to wait for more than an hour.
ZMF00401,The delivery partner was very neat and secure. Great service!
ZMF05040,My order was more than an hour late and the food was soggy.
ZMF02351,"My order was perfectly packed, no spills at all. The food was quick too."
ZMF09131,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF05594,My order was more than 40 minutes late and the food was soggy.
ZMF08857,I am tired of the the app crashing during payment. I want a full refund for this order.
ZMF02355,Food from Noodle Kingdom arrived super fast and was delicious!
ZMF00591,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF04184,I love the the app's user interface. It makes ordering food so convenient and enjoyable.
ZMF03939,Consistently good experience with Zomato. Reliable and fast.
ZMF09392,I am tired of the an item missing from my order. I want a full refund for this order.
ZMF04030,The delivery partner was very delicious. Great service!
ZMF07983,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF03132,The delivery partner was very excellent. Great service!
ZMF00199,"The The food quality was simply excellent. Keep it up, Zomato."
ZMF07688,My order was more than 40 minutes late and the food was soggy.
ZMF01998,Consistently good experience with Zomato. Reliable and fast.
ZMF07610,My order was more than 40 minutes late and the food was soggy.
ZMF03942,"The The customer support was simply excellent. Keep it up, Zomato."
ZMF08427,Received a completely wrong item from Pizza Bay. Customer support is not helping.
ZMF06767,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF05508,The curry was completely spilled in the bag. Terrible packaging.
ZMF08003,My order was more than an hour late and the food was cold.
ZMF09581,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF01628,Consistently good experience with Zomato. Reliable and fast.
ZMF03347,Food from The Curry House arrived earlier than expected and was delicious!
ZMF05196,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF00300,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF01048,Consistently good experience with Zomato. Reliable and fast.
ZMF09502,I am tired of the the app crashing during payment. I want a full refund for this order.
ZMF00943,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF08112,One of the items was missing from my order. It was a very frustrating experience.
ZMF04684,"My order was perfectly packed, no spills at all. The food was hot and fresh too."
ZMF09748,Received a completely wrong item from Noodle Kingdom. Customer support is not helping.
ZMF02062,Food from Noodle Kingdom arrived super fast and was polite and professional!
ZMF00851,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF02275,The delivery partner was very quick. Great service!
ZMF05494,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06010,My order was more than an hour late and the food was soggy.
ZMF09632,I am tired of the an item missing from my order. This is completely unacceptable.
ZMF03015,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF00273,The delivery partner was very impressive. Great service!
ZMF08457,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF09460,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF02013,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF08879,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF05107,I am tired of the the app crashing during payment. This is completely unacceptable.
ZMF06992,My order was more than 40 minutes late and the food was soggy.
ZMF00004,Consistently good experience with Zomato. Reliable and fast.
ZMF04341,Amazing discounts and very quick delivery. Highly recommended.
ZMF03949,The delivery partner was very polite and professional. Great service!
ZMF00418,The delivery partner was very excellent. Great service!
ZMF03922,The delivery partner was very excellent. Great service!
ZMF04511,The delivery partner was very delicious. Great service!
ZMF01678,Consistently good experience with Zomato. Reliable and fast.
ZMF07518,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF06604,One of the items was missing from my order. My entire meal was ruined.
ZMF05870,One of the items was missing from my order. This is completely unacceptable.
ZMF02200,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF09761,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF02273,"My order was perfectly packed, no spills at all. The food was user-friendly too."
ZMF07899,One of the items was missing from my order. I want a full refund for this order.
ZMF06952,I am tired of the late delivery. I had to wait for more than an hour.
ZMF05633,I am tired of the spilled food due to poor packaging. My entire meal was ruined.
ZMF00119,Amazing discounts and very quick delivery. Highly recommended.
ZMF00431,I love the the packaging. It makes ordering food so convenient and enjoyable.
ZMF00841,Amazing discounts and very quick delivery. Highly recommended.
ZMF07999,I am tired of the the restaurant canceling my order after a long wait. This is completely unacceptable.
ZMF05670,The curry was completely spilled in the bag. Terrible packaging.
ZMF02267,"My order was perfectly packed, no spills at all. The food was quick too."
ZMF01313,Food from Pizza Bay arrived super fast and was hot and fresh!
ZMF08370,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF09262,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF01505,Amazing discounts and very quick delivery. Highly recommended.
ZMF09158,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF03340,I love the the packaging. It makes ordering food so convenient and enjoyable.
ZMF05245,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF09775,I am tired of the a rude delivery partner. This is completely unacceptable.
ZMF00134,Food from Grill & Chill arrived super fast and was neat and secure!
ZMF08565,My order was more than an hour late and the food was soggy.
ZMF03973,Consistently good experience with Zomato. Reliable and fast.
ZMF06884,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF05540,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF03615,Amazing discounts and very quick delivery. Highly recommended.
ZMF03401,Amazing discounts and very quick delivery. Highly recommended.
ZMF06109,One of the items was missing from my order. I had to wait for more than an hour.
ZMF00689,"My order was perfectly packed, no spills at all. The food was impressive too."
ZMF01352,Amazing discounts and very quick delivery. Highly recommended.
ZMF08739,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF04057,"My order was perfectly packed, no spills at all. The food was delicious too."
ZMF00462,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF03329,Food from Pizza Bay arrived super fast and was neat and secure!
ZMF01110,The delivery partner was very delicious. Great service!
ZMF07289,The soup was completely spilled in the bag. Terrible packaging.
ZMF09766,My order was more than 40 minutes late and the food was cold.
ZMF02179,I love the the customer support. It makes ordering food so convenient and enjoyable.
ZMF09492,One of the items was missing from my order. I had to wait for more than an hour.
ZMF09785,My order was more than 40 minutes late and the food was soggy.
ZMF01210,"My order was perfectly packed, no spills at all. The food was hot and fresh too."
ZMF06497,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF07602,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF02984,"My order was perfectly packed, no spills at all. The food was user-friendly too."
ZMF05527,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF05760,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF03251,Food from The Curry House arrived earlier than expected and was quick!
ZMF08245,I am tired of the a wrong item being delivered. My entire meal was ruined.
ZMF04925,The delivery partner was very hot and fresh. Great service!
ZMF00189,I love the the wide variety of restaurants. It makes ordering food so convenient and enjoyable.
ZMF07298,I am tired of the the restaurant canceling my order after a long wait. This is completely unacceptable.
ZMF07342,I am tired of the a rude delivery partner. It was a very frustrating experience.
ZMF08944,One of the items was missing from my order. I want a full refund for this order.
ZMF01900,"The The food quality was simply excellent. Keep it up, Zomato."
ZMF02806,Amazing discounts and very quick delivery. Highly recommended.
ZMF07872,My order was more than 40 minutes late and the food was soggy.
ZMF07104,The curry was completely spilled in the bag. Terrible packaging.
ZMF01219,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF06864,One of the items was missing from my order. I want a full refund for this order.
ZMF09957,I am tired of the an item missing from my order. It was a very frustrating experience.
ZMF07083,One of the items was missing from my order. It was a very frustrating experience.
ZMF06269,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF05869,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF06791,My order was more than 40 minutes late and the food was cold.
ZMF07253,One of the items was missing from my order. It was a very frustrating experience.
ZMF05969,The curry was completely spilled in the bag. Terrible packaging.
ZMF05300,One of the items was missing from my order. I want a full refund for this order.
ZMF01052,Amazing discounts and very quick delivery. Highly recommended.
ZMF04736,Amazing discounts and very quick delivery. Highly recommended.
ZMF07854,The soup was completely spilled in the bag. Terrible packaging.
